Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2014,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,Normal value,Units,,96.0
2023,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,Normal value,Units,,91.2
2024,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,Normal value,Units,,93.89
