Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Age,UNIT_MEASURE,GeoCode,Value
2014,Normal value,Units,Zimstat_MICS_2019,"Proportion of children who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning [4.2.1]",,under 5 years old,Percent,,61.8
2019,Normal value,Units,Zimstat_MICS_2019,"Proportion of children who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning [4.2.1]",,under 5 years old,Percent,,70.8
