Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2015,Renewable energy share in the total final energy consumption [7.2.1],,Percent,Normal value,Units,,41.5
2016,Renewable energy share in the total final energy consumption [7.2.1],,Percent,Normal value,Units,,38.0
2022,Renewable energy share in the total final energy consumption [7.2.1],,Percent,Normal value,Units,,38.2
2023,Renewable energy share in the total final energy consumption [7.2.1],,Percent,Normal value,Units,,39.75
