Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2014,A,0,ICT_POTRAZ_Sector_Report,IT_MOB_2GNTWK,,PT,,96.0
2023,A,0,ICT_POTRAZ_Sector_Report,IT_MOB_2GNTWK,,PT,,91.2
2024,A,0,ICT_POTRAZ_Sector_Report,IT_MOB_2GNTWK,,PT,,93.89
