Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,GeoCode,Value
2019,A,0,ZDHS_2023_24,SE_ADT_FUNS,,F,Y15T49,PT,,92.1
2024,A,0,ZDHS_2023_24,SE_ADT_FUNS,,F,Y15T49,PT,,93.5
2019,A,0,ZDHS_2023_24,SE_ADT_FUNS,,M,Y15T49,PT,,89.4
2024,A,0,ZDHS_2023_24,SE_ADT_FUNS,,M,Y15T49,PT,,92.7
