Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2015,Proportion of land that is degraded over total land area [15.3.1],,Percent,Normal value,Units,,9.6
2019,Proportion of land that is degraded over total land area [15.3.1],,Percent,Normal value,Units,,9.22
2022,Proportion of land that is degraded over total land area [15.3.1],,Percent,Normal value,Units,,0.029
2024,Proportion of land that is degraded over total land area [15.3.1],,Percent,Normal value,Units,,12.57
