Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,Series,REF_AREA,Units,GeoCode,Value
2018,A,0,ZIMSTAT_National_Accounts_Department_2018,GR_G14_GDP,,PT,,12.30594904147843
2019,A,0,ZIMSTAT_National_Accounts_Department_2018,GR_G14_GDP,,PT,,10.826308868243524
2020,A,0,ZIMSTAT_National_Accounts_Department_2018,GR_G14_GDP,,PT,,13.275288938588842
2021,A,0,ZIMSTAT_National_Accounts_Department_2018,GR_G14_GDP,,PT,,14.980043668502663
2023,A,0,ZIMSTAT_National_Accounts_Department_2018,GR_G14_GDP,,PT,,14.7
