Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,Series,REF_AREA,SEX,AGE,Units,GeoCode,Value
2015,A,0,Zimstat_2022_PHC,SP_DYN_ADKL,,F,Y15T19,PER_1000_POP,,110.0
2017,A,0,Zimstat_2022_PHC,SP_DYN_ADKL,,F,Y15T19,PER_1000_POP,,77.6
2019,A,0,Zimstat_2022_PHC,SP_DYN_ADKL,,F,Y15T19,PER_1000_POP,,108.0
2022,A,0,Zimstat_2022_PHC,SP_DYN_ADKL,,F,Y15T19,PER_1000_POP,,86.7
