Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,Series,REF_AREA,Units,GeoCode,Value
2020,A,0,SPAR,SH_IHR_CAPS,,PT,,52
2023,A,0,SPAR,SH_IHR_CAPS,,PT,,66
