Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,Series,REF_AREA,SEX,AGE,Units,GeoCode,Value
2015,A,0,MOHCC,SH_FPL_MTMM,,F,Y15T49,PT,,86.0
2021,A,0,MOHCC,SH_FPL_MTMM,,F,Y15T49,PT,,87.5
2023,A,0,MOHCC,SH_FPL_MTMM,,F,Y15T49,PT,,84.6
