Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,Series,REF_AREA,Units,GeoCode,Value
2021,A,0,MoFED,GF_FRN_FDI,,PT,,1.2
2023,A,0,MoFED,GF_FRN_FDI,,PT,,2.0
