Year,SOURCE_DETAIL,EDUCATION_LEV,Value
2019,Min_primany_secondary_EMIS_2019,ISCED11_02,58.8
2019,Min_primany_secondary_EMIS_2020,ISCED11_1,97.1
2019,Min_primany_secondary_EMIS_2021,ISCED11_2,85.5
