Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,Series,REF_AREA,Units,GeoCode,Value
2015,A,0,ZRP_Crime_Statistics,VC_VAW_DIST,,PT,,95.0
2023,A,0,ZRP_Crime_Statistics,VC_VAW_DIST,,PT,,0.013
