Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,Series,REF_AREA,AGE,Units,GeoCode,Value
2014,A,0,Zimstat_MICS_2019,SE_DEV_ONTRK,,Y0T4,PT,,61.8
2019,A,0,Zimstat_MICS_2019,SE_DEV_ONTRK,,Y0T4,PT,,70.8
