Year,SERIES,Reference area,Sex,Age,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Female,15 to 24 years old,Percent,Normal value,Units,,14.7
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Female,15 to 49 years old,Percent,Normal value,Units,,13.1
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Male,15 to 24 years old,Percent,Normal value,Units,,21.6
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Male,15 to 49 years old,Percent,Normal value,Units,,22.3
