Year,SOURCE_DETAIL,Series,Value
2022,ZimStat; PHC 2022,SG_REG_BRTH90,79
2022,ZIMSTAT,SG_REG_CENSUS,100
2022,ZIMSTAT,SG_REG_DETH75N,1
