Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,Series,REF_AREA,Units,GeoCode,Value
2016,A,0,DHIS2,SH_ACS_UNHC,,IX,,93.3
2018,A,0,DHIS2,SH_ACS_UNHC,,IX,,85.0
2023,A,0,DHIS2,SH_ACS_UNHC,,IX,,84.0
