Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2024,Number of countries with national adaptation plans [13.2.1],,Boolean or binary measure,Normal value,Units,,1
2024,Number of least developed countries and small island developing States with national adaptation plans (Number) [13.b.1],,Boolean or binary measure,Normal value,Units,,1
