Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,Series,REF_AREA,Units,GeoCode,Value
2017,A,0,MHTEISTD,SE_ADT_EDUCTRN,,PT,,37.2
2024,A,0,MHTEISTD,SE_ADT_EDUCTRN,,PT,,25.0
