Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,Series,REF_AREA,Units,GeoCode,Value
2019,A,0,Zimstat_2022_PHC,SG_REG_BRTH,,PT,,48.7
2022,A,0,Zimstat_2022_PHC,SG_REG_BRTH,,PT,,19.1
