Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2023,80,,Normal value,Units,Percent,Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically [11.3.2]
2024,90,,Normal value,Units,Percent,Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically [11.3.2]
