Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2015,2.0,,Normal value,Units,Percent,Foreign direct investment (FDI) inflows [17.3.1]
2016,1.67,,Normal value,Units,Percent,Foreign direct investment (FDI) inflows [17.3.1]
2017,1.41,,Normal value,Units,Percent,Foreign direct investment (FDI) inflows [17.3.1]
2018,3.04,,Normal value,Units,Percent,Foreign direct investment (FDI) inflows [17.3.1]
2019,0.96,,Normal value,Units,Percent,Foreign direct investment (FDI) inflows [17.3.1]
2020,0.57,,Normal value,Units,Percent,Foreign direct investment (FDI) inflows [17.3.1]
2021,0.86,,Normal value,Units,Percent,Foreign direct investment (FDI) inflows [17.3.1]
2022,1.03,,Normal value,Units,Percent,Foreign direct investment (FDI) inflows [17.3.1]
2023,1.6,,Normal value,Units,Percent,Foreign direct investment (FDI) inflows [17.3.1]
2024,1.33,,Normal value,Units,Percent,Foreign direct investment (FDI) inflows [17.3.1]
