Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2021,-2.2,,Normal value,Units,Percent,Research and development expenditure as a proportion of GDP [9.5.1]
2022,-5.1,,Normal value,Units,Percent,Research and development expenditure as a proportion of GDP [9.5.1]
2023,-8.4,,Normal value,Units,Percent,Research and development expenditure as a proportion of GDP [9.5.1]
2024,-0.02,,Normal value,Units,Percent,Research and development expenditure as a proportion of GDP [9.5.1]
