Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2016,2.2,,Normal value,Units,"Per 1,000 population",Mortality rate attributed to unintentional poisonings [3.9.3]
2024,2.1,,Normal value,Units,"Per 1,000 population",Mortality rate attributed to unintentional poisonings [3.9.3]
