Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2023,55.0,,Normal value,Units,Percent,Municipal waste recycled (Tonnes) [12.5.1]
2024,63.25,,Normal value,Units,Percent,Municipal waste recycled (Tonnes) [12.5.1]
