Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2014,5.0,,Normal value,Units,Percent,Proportion of population covered by at least one social protection benefit [1.3.1]
2019,40.4,,Normal value,Units,Percent,Proportion of population covered by at least one social protection benefit [1.3.1]
2023,37.1,,Normal value,Units,Percent,Proportion of population covered by at least one social protection benefit [1.3.1]
2024,44.4,,Normal value,Units,Percent,Proportion of population covered by at least one social protection benefit [1.3.1]
