Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2019,77.1,,Normal value,Units,Percent,Proportion of population using safely managed drinking water services [6.1.1]
2022,77.8,,Normal value,Units,Percent,Proportion of population using safely managed drinking water services [6.1.1]
2023,78.7,,Normal value,Units,Percent,Proportion of population using safely managed drinking water services [6.1.1]
2024,72.4,,Normal value,Units,Percent,Proportion of population using safely managed drinking water services [6.1.1]
