Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2015,73,,Normal value,Units,Number,"Number of victims of intentional homicide per 100,000 population [16.1.1]"
2022,1085,,Normal value,Units,Number,"Number of victims of intentional homicide per 100,000 population [16.1.1]"
2023,1086,,Normal value,Units,Number,"Number of victims of intentional homicide per 100,000 population [16.1.1]"
2024,1125,,Normal value,Units,Number,"Number of victims of intentional homicide per 100,000 population [16.1.1]"
