Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2015,87.4811,,Normal value,Units,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2016,87.4811,,Normal value,Units,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2017,87.4811,,Normal value,Units,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2018,87.4811,,Normal value,Units,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2019,87.4811,,Normal value,Units,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2020,87.4811,,Normal value,Units,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2021,87.4811,,Normal value,Units,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2022,87.4811,,Normal value,Units,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2023,87.4811,,Normal value,Units,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2024,87.4811,,Normal value,Units,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
