Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2020,368.9,,Normal value,Units,USD,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]"
2021,472.2,,Normal value,Units,USD,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]"
2022,565.5,,Normal value,Units,USD,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]"
2023,398.0,,Normal value,Units,USD,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]"
2024,441.4,,Normal value,Units,USD,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]"
