Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2019,28,,Normal value,Units,Percent,Proportion of population that has convenient access to public transport [11.2.1]
2020,32,,Normal value,Units,Percent,Proportion of population that has convenient access to public transport [11.2.1]
2021,35,,Normal value,Units,Percent,Proportion of population that has convenient access to public transport [11.2.1]
2022,46,,Normal value,Units,Percent,Proportion of population that has convenient access to public transport [11.2.1]
