Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2020,66.67,,Normal value,Units,Percent,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2]
2022,94.78,,Normal value,Units,Percent,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2]
2023,89.26,,Normal value,Units,Percent,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2]
2024,94.95,,Normal value,Units,Percent,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2]
