Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2019,65.0,,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2022,39.7,,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2024,69.0,,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
