Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2023,886706286.37,,Normal value,Units,USD,"Total resource flows for development, by recipient and donor countries [10.b.1]"
2024,772576720.84,,Normal value,Units,USD,"Total resource flows for development, by recipient and donor countries [10.b.1]"
