Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2010,19.7,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2011,14.2,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2012,16.7,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2013,2.0,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2014,2.4,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2015,1.8,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2016,0.8,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2017,4.7,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2018,4.8,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2019,-6.3,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2020,-7.8,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2021,8.5,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2022,7.4,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2023,5.3,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2024,1.7,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
