Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2021,1.78,,Normal value,Units,Index,Agriculture orientation index for government expenditures [2.a.1]
2022,1.51,,Normal value,Units,Index,Agriculture orientation index for government expenditures [2.a.1]
2023,0.67,,Normal value,Units,Index,Agriculture orientation index for government expenditures [2.a.1]
2024,1.58,,Normal value,Units,Index,Agriculture orientation index for government expenditures [2.a.1]
