Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2024,122,,Normal value,Units,Metric Tons,Hazardous waste generated (Tonnes) [12.4.2]
2024,122,,Normal value,Units,Metric Tons,Municipal waste generated (Tonnes) [12.4.2]
