Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2010,238,,Normal value,Units,"Per 1,000 population",Crude death rate attributed to household and ambient air pollution [3.9.1]
2019,191,,Normal value,Units,"Per 1,000 population",Crude death rate attributed to household and ambient air pollution [3.9.1]
