Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2017,53.1,,Normal value,Units,Percent,Proportion of population living below the national poverty line [1.2.1]
2019,57.0,,Normal value,Units,Percent,Proportion of population living below the national poverty line [1.2.1]
