Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2015,3.53,,Normal value,Units,Percent,Tourism direct GDP as a proportion of total GDP [8.9.1]
2016,3.78,,Normal value,Units,Percent,Tourism direct GDP as a proportion of total GDP [8.9.1]
2017,2.6,,Normal value,Units,Percent,Tourism direct GDP as a proportion of total GDP [8.9.1]
2018,4.2,,Normal value,Units,Percent,Tourism direct GDP as a proportion of total GDP [8.9.1]
2019,4.3,,Normal value,Units,Percent,Tourism direct GDP as a proportion of total GDP [8.9.1]
2020,2.3,,Normal value,Units,Percent,Tourism direct GDP as a proportion of total GDP [8.9.1]
2021,2.5,,Normal value,Units,Percent,Tourism direct GDP as a proportion of total GDP [8.9.1]
2022,5.2,,Normal value,Units,Percent,Tourism direct GDP as a proportion of total GDP [8.9.1]
2023,6.2,,Normal value,Units,Percent,Tourism direct GDP as a proportion of total GDP [8.9.1]
2024,1.89,,Normal value,Units,Percent,Tourism direct GDP as a proportion of total GDP [8.9.1]
