Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2023,1,,Normal value,Units,Boolean or binary measure,Proportion of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control [5.a.2]
2024,1,,Normal value,Units,Boolean or binary measure,Proportion of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control [5.a.2]
