Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2023,15.3,,Normal value,Units,Watts per capita,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
2024,20.0,,Normal value,Units,Watts per capita,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
