Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2020,52,,Normal value,Units,Percent,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]"
2023,66,,Normal value,Units,Percent,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]"
2024,55,,Normal value,Units,Percent,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]"
