Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2017,60.0,,Normal value,Units,Percent,Proportion of population who say that overall they are satisfied with the quality of government services [16.6.2]
2024,70.81,,Normal value,Units,Percent,Proportion of population who say that overall they are satisfied with the quality of government services [16.6.2]
