Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2020,29.3,,Normal value,Units,Percent,Proportion of individuals using the Internet [17.8.1]
2022,34.2,,Normal value,Units,Percent,Proportion of individuals using the Internet [17.8.1]
