Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2015,98.99,,Normal value,Units,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2016,99.34,,Normal value,Units,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2017,94.71,,Normal value,Units,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2018,94.7,,Normal value,Units,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2019,98.0,,Normal value,Units,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2020,98.0,,Normal value,Units,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2021,99.35,,Normal value,Units,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2022,100.0,,Normal value,Units,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2023,100.0,,Normal value,Units,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2024,100.0,,Normal value,Units,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
