Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2020,50.5,,Normal value,Units,USD,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
2021,40.9,,Normal value,Units,USD,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
2022,128.4,,Normal value,Units,USD,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
2023,94.0,,Normal value,Units,USD,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
2024,30.0,,Normal value,Units,USD,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
