Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2015,20.54,,Normal value,Units,Percent,Primary government expenditures as a proportion of original approved budget [16.6.1]
2016,24.88,,Normal value,Units,Percent,Primary government expenditures as a proportion of original approved budget [16.6.1]
2017,9.98,,Normal value,Units,Percent,Primary government expenditures as a proportion of original approved budget [16.6.1]
2018,10.85,,Normal value,Units,Percent,Primary government expenditures as a proportion of original approved budget [16.6.1]
2019,10.93,,Normal value,Units,Percent,Primary government expenditures as a proportion of original approved budget [16.6.1]
2020,11.86,,Normal value,Units,Percent,Primary government expenditures as a proportion of original approved budget [16.6.1]
2021,17.52,,Normal value,Units,Percent,Primary government expenditures as a proportion of original approved budget [16.6.1]
2022,16.51,,Normal value,Units,Percent,Primary government expenditures as a proportion of original approved budget [16.6.1]
2023,16.7,,Normal value,Units,Percent,Primary government expenditures as a proportion of original approved budget [16.6.1]
2024,13.8,,Normal value,Units,Percent,Primary government expenditures as a proportion of original approved budget [16.6.1]
