Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2020,21511425,,Normal value,Units,USD,"Total official flows for infrastructure, by recipient countries [9.a.1]"
2021,20124252,,Normal value,Units,USD,"Total official flows for infrastructure, by recipient countries [9.a.1]"
2022,32798962,,Normal value,Units,USD,"Total official flows for infrastructure, by recipient countries [9.a.1]"
2023,28243713,,Normal value,Units,USD,"Total official flows for infrastructure, by recipient countries [9.a.1]"
2024,12735178,,Normal value,Units,USD,"Total official flows for infrastructure, by recipient countries [9.a.1]"
