Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2020,51.0,,Normal value,Units,Percent,Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis [3.b.3]
2023,22.0,,Normal value,Units,Percent,Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis [3.b.3]
2024,49.11,,Normal value,Units,Percent,Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis [3.b.3]
