Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2014,96.0,,Normal value,Units,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2023,91.2,,Normal value,Units,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2024,93.89,,Normal value,Units,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
