Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2024,1,,Normal value,Units,Boolean or binary measure,Number of least developed countries and small island developing States with national adaptation plans (Number) [13.b.1]
2024,1,,Normal value,Units,Boolean or binary measure,Number of least developed countries and small island developing States with nationally determined contributions (Number) [13.b.1]
