Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2023,"Material footprint per capita [8.4.1, 12.2.1]",,Kilograms per constant USD,Normal value,Units,,1.228
2024,"Material footprint per capita [8.4.1, 12.2.1]",,Kilograms per constant USD,Normal value,Units,,0.64
2023,"Material footprint per unit of GDP [8.4.1, 12.2.1]",,Kilograms per constant USD,Normal value,Units,,0.42
2024,"Material footprint per unit of GDP [8.4.1, 12.2.1]",,Kilograms per constant USD,Normal value,Units,,0.23
2023,"Material footprint [8.4.1, 12.2.1]",,Metric Tons,Normal value,Units,,18576062.7
2024,"Material footprint [8.4.1, 12.2.1]",,Metric Tons,Normal value,Units,,10060000.0
