Year,SERIES,Reference area,Sex,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2015,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,Number,Normal value,Units,,73
2022,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,Number,Normal value,Units,,1085
2023,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,Number,Normal value,Units,,1086
2024,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,Number,Normal value,Units,,1125
2023,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Female,Number,Normal value,Units,,252
2024,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Female,Number,Normal value,Units,,254
2023,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Male,Number,Normal value,Units,,834
2024,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Male,Number,Normal value,Units,,861
