Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2015,VC_VAW_MARR,,F,Y_GE15,PT,A,0,,15.0
2019,VC_VAW_MARR,,F,Y_GE15,PT,A,0,,28.7
2024,VC_VAW_MARR,,F,Y_GE15,PT,A,0,,25.1
