Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2023,EG_EGY_RNEW,,W_PER_CAPITA,A,0,,15.3
2024,EG_EGY_RNEW,,W_PER_CAPITA,A,0,,20.0
