Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,GeoCode,Value
2024,A,0,ZDHS_2023_24,SH_MDD_WMN_NPRG,,U,PT,,24.7
2024,A,0,ZDHS_2023_24,SH_MDD_WMN_NPRG,ZW_BA,U,PT,ZW_BA,18.2
2024,A,0,ZDHS_2023_24,SH_MDD_WMN_NPRG,ZW_HA,U,PT,ZW_HA,58.6
2024,A,0,ZDHS_2023_24,SH_MDD_WMN_NPRG,ZW_MA,U,PT,ZW_MA,32.9
2024,A,0,ZDHS_2023_24,SH_MDD_WMN_NPRG,ZW_MC,U,PT,ZW_MC,12.3
2024,A,0,ZDHS_2023_24,SH_MDD_WMN_NPRG,ZW_ME,U,PT,ZW_ME,24.0
2024,A,0,ZDHS_2023_24,SH_MDD_WMN_NPRG,ZW_MI,U,PT,ZW_MI,14.5
2024,A,0,ZDHS_2023_24,SH_MDD_WMN_NPRG,ZW_MN,U,PT,ZW_MN,17.4
2024,A,0,ZDHS_2023_24,SH_MDD_WMN_NPRG,ZW_MS,U,PT,ZW_MS,17.4
2024,A,0,ZDHS_2023_24,SH_MDD_WMN_NPRG,ZW_MV,U,PT,ZW_MV,17.3
2024,A,0,ZDHS_2023_24,SH_MDD_WMN_NPRG,ZW_MW,U,PT,ZW_MW,14.2
