Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2020,Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis [3.b.3],,Percent,Normal value,Units,,51.0
2023,Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis [3.b.3],,Percent,Normal value,Units,,22.0
2024,Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis [3.b.3],,Percent,Normal value,Units,,49.11
