Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2019,A,0,Zimstat_2022_PHC,SE_TOT_PRFL,,PT,,93.6
2021,A,0,Zimstat_2022_PHC,SE_TOT_PRFL,,PT,,83.5
2022,A,0,Zimstat_2022_PHC,SE_TOT_PRFL,,PT,,90.3
