Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,Series,REF_AREA,Units,GeoCode,Value
2019,A,0,UNICEF_and_Ministry_reports,SH_H2O_SAFE,,PT,,77.1
2022,A,0,UNICEF_and_Ministry_reports,SH_H2O_SAFE,,PT,,77.8
2023,A,0,UNICEF_and_Ministry_reports,SH_H2O_SAFE,,PT,,78.7
2024,A,0,UNICEF_and_Ministry_reports,SH_H2O_SAFE,,PT,,34.0
