Year,Source details,Series,Value
2024,Presidential Flash Appeal 2024 (Absolute),VC_DSR_AGLH,4.13
2019,world bank,VC_DSR_GDPLS,2.571
2024,world bank,VC_DSR_GDPLS,4.13
