Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2023,Normal value,Units,RBZ_MMCZ_FGR_Zimstats,"Material footprint per capita [8.4.1, 12.2.1]",,Percent,,18576062.7
2023,Normal value,Units,RBZ_MMCZ_FGR_Zimstats,"Material footprint per unit of GDP [8.4.1, 12.2.1]",,Percent,,1.228
