Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2023,A,0,MoFEDIP_DEVPROMIS,DC_TRF_TFDV,,USD,,886706286.37
2024,A,0,MoFEDIP_DEVPROMIS,DC_TRF_TFDV,,USD,,772576720.84
