Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,Series,REF_AREA,SEX,Units,GeoCode,Value
2019,A,0,Zimstat_MICS_2019,VC_SNS_WALN,,F,PT,,47.9
2019,A,0,Zimstat_MICS_2019,VC_SNS_WALN,,M,PT,,82.8
